time,open,high,low,close,tick_volume,spread,real_volume
2025-02-14 04:00:00,2929.9,2930.47,2926.01,2927.26,4146,6,0
2025-02-14 05:00:00,2927.16,2930.39,2923.05,2924.22,3267,5,0
2025-02-14 06:00:00,2924.21,2929.35,2923.65,2928.64,2705,5,0
2025-02-14 07:00:00,2928.78,2932.43,2926.74,2930.95,3782,5,0
2025-02-14 08:00:00,2930.72,2936.84,2929.9,2934.37,4725,5,0
2025-02-14 09:00:00,2933.97,2935.17,2930.55,2931.87,4094,5,0
2025-02-14 10:00:00,2931.86,2938.46,2930.88,2935.12,4347,5,0
2025-02-14 11:00:00,2935.01,2938.75,2934.1,2935.16,4192,5,0
2025-02-14 12:00:00,2935.01,2940.06,2934.25,2935.83,4347,5,0
2025-02-14 13:00:00,2935.85,2937.67,2929.27,2931.16,3666,5,0
2025-02-14 14:00:00,2931.13,2933.05,2927.75,2930.78,4315,5,0
2025-02-14 15:00:00,2930.97,2933.32,2917.38,2920.53,5987,5,0
2025-02-14 16:00:00,2920.39,2928.52,2913.82,2921.02,6309,5,0
2025-02-14 17:00:00,2920.58,2921.64,2892.95,2901.89,6473,5,0
2025-02-14 18:00:00,2901.97,2903.85,2888.39,2895.79,5914,5,0
2025-02-14 19:00:00,2896.01,2897.32,2885.37,2886.99,5207,5,0
2025-02-14 20:00:00,2887.26,2887.94,2882.12,2883.71,4603,5,0
2025-02-14 21:00:00,2883.74,2885.83,2878.68,2880.56,3914,5,0
2025-02-14 22:00:00,2880.45,2886.26,2877.03,2885.48,4712,5,0
2025-02-14 23:00:00,2885.32,2885.85,2882.24,2882.5,1816,5,0
2025-02-17 01:00:00,2883.13,2893.89,2877.6,2879.36,3667,5,0
2025-02-17 02:00:00,2879.46,2888.29,2879.32,2883.57,2393,5,0
2025-02-17 03:00:00,2883.47,2896.37,2882.11,2895.27,4565,5,0
2025-02-17 04:00:00,2895.34,2899.78,2893.78,2899.28,3599,5,0
2025-02-17 05:00:00,2899.19,2904.32,2897.66,2903.26,3098,5,0
2025-02-17 06:00:00,2903.07,2904.87,2898.45,2899.12,2665,5,0
2025-02-17 07:00:00,2899.1,2905.24,2895.77,2895.95,3559,10,0
2025-02-17 08:00:00,2895.91,2897.59,2888.15,2896.42,3930,5,0
2025-02-17 09:00:00,2896.41,2903.6,2896.23,2902.58,3911,5,0
2025-02-17 10:00:00,2902.6,2902.69,2895.18,2900.16,4052,5,0
2025-02-17 11:00:00,2900.22,2906.4,2900.22,2902.62,3765,5,0
2025-02-17 12:00:00,2902.56,2903.0,2895.52,2902.89,3601,5,0
2025-02-17 13:00:00,2902.98,2903.92,2897.9,2900.91,3203,5,0
2025-02-17 14:00:00,2901.06,2901.71,2895.43,2897.55,3191,5,0
2025-02-17 15:00:00,2897.5,2899.08,2895.51,2896.74,4362,5,0
2025-02-17 16:00:00,2896.74,2903.94,2896.44,2902.95,4415,5,0
2025-02-17 17:00:00,2903.12,2904.07,2897.99,2899.23,4319,5,0
2025-02-17 18:00:00,2899.3,2901.2,2896.45,2899.17,2867,5,0
2025-02-17 19:00:00,2899.17,2899.67,2897.7,2898.46,2137,5,0
2025-02-17 20:00:00,2898.31,2899.12,2897.07,2898.38,1662,5,0
2025-02-17 21:00:00,2898.35,2899.47,2896.88,2899.45,741,5,0
2025-02-18 01:00:00,2898.61,2899.51,2896.83,2899.38,761,5,0
2025-02-18 02:00:00,2899.19,2900.39,2898.38,2899.37,1261,5,0
2025-02-18 03:00:00,2899.3,2899.99,2891.98,2895.67,3329,5,0
2025-02-18 04:00:00,2895.79,2905.0,2895.33,2903.03,3328,5,0
2025-02-18 05:00:00,2902.86,2910.82,2902.68,2908.88,3372,5,0
2025-02-18 06:00:00,2908.82,2911.0,2907.23,2910.65,1837,5,0
2025-02-18 07:00:00,2910.91,2915.54,2909.62,2910.65,3181,5,0
2025-02-18 08:00:00,2910.44,2914.3,2909.88,2913.67,2692,5,0
2025-02-18 09:00:00,2913.45,2915.44,2908.52,2911.54,2937,5,0
2025-02-18 10:00:00,2911.57,2913.27,2908.24,2912.38,3106,5,0
2025-02-18 11:00:00,2912.4,2913.45,2910.07,2912.64,2586,5,0
2025-02-18 12:00:00,2912.65,2913.43,2906.95,2911.24,3063,5,0
